标题,来源,时间,问题,回答
退档问题,hs*** (海南),2017-06-28 16:02,老师您好！请问2017年按照1:1.05投档到贵校的档案在服从专业调配的情况下，多余1的档案进档会退档吗？谢谢！,考生您好，如果您的成绩过了我校的提档线，高考体检合格并且服从调剂就不会被退档。欢迎报考东北林业大学！
贵州理科报考,gy*** (贵州),2017-06-28 15:33,请问：贵州理科超一本线36分，排位22600，报考贵校的以下六个专业，希望大吗？谢谢！1、计算机类；2、地理信息科学；3、电子信息类；4、机械类（机电）；5、工业工程；6、高分子材料与工程。,考生您好，我校2016年在贵州省理科录取最低分为499，对应的位次为28271.根据您今年的成绩被我校录取的可能性较大。另不同专业的录取分数可以到东北林业大学招生信息网进行查询，作为参考。欢迎报考东北林业大学！
学费问题,34***910170812 (安徽),2017-06-28 14:49,贵校部分理工类学科学费偏低（2500-3500元/年），请说明原因，谢谢,学费标准是黑龙江省物价部门负责审批，黑龙江省多年未对学费进行调整，因此学费较低。
入学,13***82 (海南),2018-06-27 16:13,新生入学资格复查是怎么复查？,根据国家相关政策复查，如果你是正常录取的，复查基本没问题
山东考生,13***93 (山东),2018-06-27 16:11,理科，585分报考贵校希望大吗？能分到贵校的优势专业吗？,考生你好，我们学校去年在你们山东录取的最高分是604，段位是15172，最低分是574，最低分段位是32975，你可以参考一下。
贵校转专业有何规定？按大类招生的专业入校后可自选细分专业吗,iy***@126.com (广东),2018-06-27 15:40,贵校转专业有何规定？按大类招生的专业如机械类，学生入校后可自选细分专业吗？今年贵校在广东招录工业设计专业吗,[考生你好，我们学校文科，理科这种跨科类不得转专业，特殊类招生不得转专业之外，其他转专业没有限制。大类招生是入学后不分专业，在第三学期或者第四学期按学生的学生情况进行专业分流。这个在志愿填报指导的这本书上有我们学校在你们省的每个专业的招生计划数，你都可以自己看得到的。具体的详细介绍，你可以登录东北林业大学招生信息网查看。
你好，我是江苏文科350，等级符合条件，请问可以报考贵校吗？,18***38 (江苏),2018-06-27 15:31,如题,考生你好，我们学校去年在你们省文史录取的最高分是348，最高分段位是7046，最低分是344，最低分段位是8819，你可以参考一下，具体的一些信息，你可以登录东北林业大学招生信息网查看。
老师您好,15***68 (山东),2018-06-27 13:33,我是山东考生，文科592分，省排名7161名，能否被录取？经济学类中经济统计学专业与法学专业录取概率如何？,考生你好，我们学校去年在你们省文史类录取的最高分是578，段位是4736，最低分是569，段位是6799，你可以参考一下，详细的信息你可以登录一下东北林业大学招生信息网查看。
山东考生美术理,15***23 (山东),2018-06-27 13:23,文化分388，专业分268，报考该校是否有希望,我们学校在你们省的录取规则是专业课统考成绩达到本科合格线以后，我们学校只看文化课成绩，从高分到低分录取。我们学校去年在你们省理工类录取的最高分是506，最低分482。
江西考生咨询,13***51 (江西),2018-06-27 10:25,理科551，排名25451，是否有希望被贵校录取？,考生你好，我们学校去年在你们省的理工类录取的最高分是540，段位是12347，最低分是524，段位是23140，你可以参考一下。如果你特别想报东北林业大学，你可以冲一下，详细的信息你可以登录一下东北林业大学招生信息网查看。
东北林业大学的中外合作办学，是必须要去国外吗？,13***97 (山东),2018-06-27 10:13,东北林业大学的中外合作办学，是必须要去国外吗？毕业证和东北林业大学普通专业是否一样？中外合作的学生可以考研吗？,三年在东北林业大学学习，成绩合格后才有资格去阿斯顿大学学习。我们颁发的证书有东北林业大学毕业证和东北林业大学学士学位证，阿斯顿大学颁发的是阿斯顿大学学士学位证。可以考研，出国后可以申请阿斯顿大学的研究生。
关于录取,15***69 (河南),2018-06-27 09:32,老师你好，我是一名往届生，去年被一所高校录取了但没有去上，好像被记入诚信档案了，想问一下，今年想报考贵校，如果分数足够的话，会不会因为这个问题被贵校退档？谢谢,我们学校提档之后，只要体检合格，服从调剂，不会退档。
辽宁考生咨询,13***64 (辽宁),2018-06-27 09:22,辽宁理科564分，省排名22543。不知是否有希望？盼！,考生你好，可以报考我们学校，是否能被录取，还得看你们辽宁的报考情况，我们学校录取原则是从高分到低分录取，我们学校去年在你们省理工类录取的最低分段位是24892，你可以参考一下，详细的信息你可以登录东北林业大学招生信息网查看。
转专业,13***23 (辽宁),2018-06-26 16:50,可以转专业吗，遵循什么原则,考生你好，我们学校是文科，理科这种跨科类不能转，特殊类考生不能转，其他都可以转。
报考,15***48 (江苏),2018-06-26 16:33,江苏理科352AA有希望被录取吗？,考生你好，我们学校2017年在江苏省的理工类录取的最高分349，段位是29184，最低分是345，段位是34889，你可以参考一下，能否被录取，还得看江苏省的报考情况，我们录取原则是从高分到低分录取。详细的信息你可以登录东北林业大学招生信息网查看。
辽宁理科,13***83 (辽宁),2018-06-26 16:25,请问辽宁今年理科557分能被贵校录取吗？,考生你好，我校2017年在辽宁省理工类录取最高分是578，段位是10131，最低分是522，段位是24892，你可以参考一下，详细的信息你可以登录东北林业大学招生信息网查看。
山东理科,13***60 (山东),2018-06-26 16:00,老师你好：山东考生577，排名34932，报考贵校服从调剂录取概率大吗？,考生你好，能否被录取，还得看山东省的报考情况，我校是从高分到低分录取。2017年我校在山东省理工类录取的最低分是574，段位是32975，详细的信息你可以登录东北林业大学招生信息网查看
山东考生,13***99 (山东),2018-06-26 15:58,老师您好，我的成绩587名次27785，请问专业的选择自由度大吗？如果入校后想转专业有什么要求和限制吗？,我校是文科、理科这种跨科类不能转专业，特殊类考生不能转专业，其他都可以。详细的信息你可以登录东北林业大学招生信息网查看。
辽宁文科生,f1***9 (辽宁),2017-06-24 11:02,辽宁文科生算上少数民族加的五分为539超过一本7分有机会去贵校吗,考生你好，我校2016年在辽宁省的文史类的最高分数为563，最低分数为525，最低分数所对应的省排名为6586.根据你提供的高考分数以及省排名，鼓励报考我校，欢迎报考东北林业大学。
宁夏考生理工470分,cs***w (宁夏),2017-06-23 13:34,报考贵校有把握吗？,考生您好，我校2016年在宁夏地区理科录取最低分为469，对应的位次为9461.您可以查询一下自己今年的位次进行参考。欢迎报考东北林业大学！
山东高一本线52分 位次34526能否被录取,do***nian (山东),2016-06-28 16:22,老师山东考生高一本线56分位次34526能被录取吗？有什么好的适合女生的专业推荐吗？,[参考往年的录取情况来说，2015年我校在山东理工的最低录取分数高出一本线40分，最低的排名为30868名，那么今年有机会被我校录取，可以报考我校试试，同时你也可以到东北林业大学招生信息网进行查询我校各类专业介绍和参考历年我校在山东理工的录取情况，网址http://zhaosheng.nefu.edu.cn/。由于我校各个专业都不限制男女考生报考，现在学校总体男女比例为1：1，适合女生的专业需根据你的兴趣爱好，特长等等方面来综合参考。
河南文科,wh*** (河南),2016-06-28 12:59,是河南文科考生，高考成绩553分，排名5023，请问报考贵我校有希望吗？文科有什么优势专业？进校后能转专业吗？谢谢,参考往年的录取情况来说，2015年我校在河南文史的最低录取分数高出一本线18分，最低的排名为7029名，那么今年有机会被我校录取，可以报考我校试试，同时你也可以到东北林业大学招生信息网进行查询我校各类专业介绍和参考历年我校在河南文史的录取情况，网址http://zhaosheng.nefu.edu.cn/。
调档咨询,zz*** (河南),2016-06-28 12:43,您好，请问贵校近年是按1：1.05调档还是进档不退呢？谢谢,服从专业调剂，高考之前的体检合格，那么进档不退档。
